"Package","Version Installed","Vulnerability ID","Severity"
"mount","2.38.1-5+deb12u3","CVE-2026-3184","Medium"
"util-linux","2.38.1-5+deb12u3","CVE-2026-3184","Medium"
"util-linux-extra","2.38.1-5+deb12u3","CVE-2026-3184","Medium"
"libc-bin","2.36-9+deb12u14","CVE-2019-1010025","Negligible"
"libc6","2.36-9+deb12u14","CVE-2019-1010025","Negligible"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-33845","Critical"
"libssh2-1","1.10.0-3+b1","CVE-2026-7598","Medium"
"libc-bin","2.36-9+deb12u14","CVE-2019-9192","Negligible"
"libc6","2.36-9+deb12u14","CVE-2019-9192","Negligible"
"curl","7.88.1-10+deb12u14","CVE-2026-1965","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-1965","Medium"
"libtinfo6","6.4-4","CVE-2025-6141","Medium"
"ncurses-base","6.4-4","CVE-2025-6141","Medium"
"ncurses-bin","6.4-4","CVE-2025-6141","Medium"
"libc-bin","2.36-9+deb12u14","CVE-2026-5928","High"
"libc6","2.36-9+deb12u14","CVE-2026-5928","High"
"curl","7.88.1-10+deb12u14","CVE-2026-7168","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-7168","Medium"
"libgcrypt20","1.10.1-3","CVE-2024-2236","Negligible"
"libc-bin","2.36-9+deb12u14","CVE-2026-5435","High"
"libc6","2.36-9+deb12u14","CVE-2026-5435","High"
"perl-base","5.36.0-7+deb12u3","CVE-2023-31486","Negligible"
"libc-bin","2.36-9+deb12u14","CVE-2019-1010024","Negligible"
"libc6","2.36-9+deb12u14","CVE-2019-1010024","Negligible"
"curl","7.88.1-10+deb12u14","CVE-2025-14819","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-14819","Medium"
"liblzma5","5.4.1-1","CVE-2026-34743","Medium"
"curl","7.88.1-10+deb12u14","CVE-2025-0725","Negligible"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-0725","Negligible"
"curl","7.88.1-10+deb12u14","CVE-2026-5545","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-5545","Medium"
"libtinfo6","6.4-4","CVE-2023-50495","Medium"
"ncurses-base","6.4-4","CVE-2023-50495","Medium"
"ncurses-bin","6.4-4","CVE-2023-50495","Medium"
"libc-bin","2.36-9+deb12u14","CVE-2026-6238","Medium"
"libc6","2.36-9+deb12u14","CVE-2026-6238","Medium"
"libgcrypt20","1.10.1-3","CVE-2018-6829","Negligible"
"libsystemd0","252.39-1~deb12u2","CVE-2026-40225","Medium"
"libudev1","252.39-1~deb12u2","CVE-2026-40225","Medium"
"gpgv","2.2.40-1.1+deb12u2","CVE-2025-30258","Medium"
"coreutils","9.1-1","CVE-2016-2781","Low"
"libc-bin","2.36-9+deb12u14","CVE-2026-4438","Medium"
"libc6","2.36-9+deb12u14","CVE-2026-4438","Medium"
"curl","7.88.1-10+deb12u14","CVE-2026-6253","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-6253","Medium"
"curl","7.88.1-10+deb12u14","CVE-2026-5773","High"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-5773","High"
"libpam-modules","1.5.2-6+deb12u2","CVE-2024-10041","Medium"
"libpam-modules-bin","1.5.2-6+deb12u2","CVE-2024-10041","Medium"
"libpam-runtime","1.5.2-6+deb12u2","CVE-2024-10041","Medium"
"libpam0g","1.5.2-6+deb12u2","CVE-2024-10041","Medium"
"libc-bin","2.36-9+deb12u14","CVE-2010-4756","Negligible"
"libc6","2.36-9+deb12u14","CVE-2010-4756","Negligible"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-42011","High"
"curl","7.88.1-10+deb12u14","CVE-2025-14524","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-14524","Medium"
"tar","1.34+dfsg-1.2+deb12u1","CVE-2026-5704","Medium"
"login","1:4.13+dfsg1-1+deb12u2","CVE-2007-5686","Negligible"
"passwd","1:4.13+dfsg1-1+deb12u2","CVE-2007-5686","Negligible"
"libc-bin","2.36-9+deb12u14","CVE-2026-0915","High"
"libc6","2.36-9+deb12u14","CVE-2026-0915","High"
"libc-bin","2.36-9+deb12u14","CVE-2019-1010023","Negligible"
"libc6","2.36-9+deb12u14","CVE-2019-1010023","Negligible"
"dpkg","1.21.23","CVE-2026-2219","High"
"curl","7.88.1-10+deb12u14","CVE-2026-6429","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-6429","Medium"
"curl","7.88.1-10+deb12u14","CVE-2026-6276","High"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-6276","High"
"curl","7.88.1-10+deb12u14","CVE-2026-3784","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-3784","Medium"
"libgssapi-krb5-2","1.20.1-2+deb12u4","CVE-2024-26458","Negligible"
"libk5crypto3","1.20.1-2+deb12u4","CVE-2024-26458","Negligible"
"libkrb5-3","1.20.1-2+deb12u4","CVE-2024-26458","Negligible"
"libkrb5support0","1.20.1-2+deb12u4","CVE-2024-26458","Negligible"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-3832","Low"
"curl","7.88.1-10+deb12u14","CVE-2026-3783","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-3783","Medium"
"libssl3","3.0.20-1~deb12u1","CVE-2025-27587","Negligible"
"curl","7.88.1-10+deb12u14","CVE-2026-4873","Medium"
"libcurl4","7.88.1-10+deb12u14","CVE-2026-4873","Medium"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2020-15719","Negligible"
"libsystemd0","252.39-1~deb12u2","CVE-2026-29111","Medium"
"libudev1","252.39-1~deb12u2","CVE-2026-29111","Medium"
"curl","7.88.1-10+deb12u14","CVE-2024-2379","Negligible"
"libcurl4","7.88.1-10+deb12u14","CVE-2024-2379","Negligible"
"perl-base","5.36.0-7+deb12u3","CVE-2011-4116","Negligible"
"libgcrypt20","1.10.1-3","CVE-2026-41989","Medium"
"libsystemd0","252.39-1~deb12u2","CVE-2023-31437","Negligible"
"libudev1","252.39-1~deb12u2","CVE-2023-31437","Negligible"
"libtinfo6","6.4-4","CVE-2025-69720","High"
"ncurses-base","6.4-4","CVE-2025-69720","High"
"ncurses-bin","6.4-4","CVE-2025-69720","High"
"bsdutils","1:2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"libblkid1","2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"libmount1","2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"libsmartcols1","2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"libuuid1","2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"mount","2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"util-linux","2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"util-linux-extra","2.38.1-5+deb12u3","CVE-2026-27456","Medium"
"libc-bin","2.36-9+deb12u14","CVE-2026-0861","High"
"libc6","2.36-9+deb12u14","CVE-2026-0861","High"
"libcap2","1:2.66-4+deb12u3+b1","CVE-2026-4878","High"
"libsystemd0","252.39-1~deb12u2","CVE-2023-31438","Negligible"
"libudev1","252.39-1~deb12u2","CVE-2023-31438","Negligible"
"coreutils","9.1-1","CVE-2025-5278","Negligible"
"libc-bin","2.36-9+deb12u14","CVE-2019-1010022","Negligible"
"libc6","2.36-9+deb12u14","CVE-2019-1010022","Negligible"
"libsystemd0","252.39-1~deb12u2","CVE-2023-31439","Negligible"
"libudev1","252.39-1~deb12u2","CVE-2023-31439","Negligible"
"libsystemd0","252.39-1~deb12u2","CVE-2026-40226","Medium"
"libudev1","252.39-1~deb12u2","CVE-2026-40226","Medium"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2017-14159","Negligible"
"libsystemd0","252.39-1~deb12u2","CVE-2026-4105","Medium"
"libudev1","252.39-1~deb12u2","CVE-2026-4105","Medium"
"libsystemd0","252.39-1~deb12u2","CVE-2026-40228","Low"
"libudev1","252.39-1~deb12u2","CVE-2026-40228","Low"
"curl","7.88.1-10+deb12u14","CVE-2025-15224","Negligible"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-15224","Negligible"
"zlib1g","1:1.2.13.dfsg-1","CVE-2026-27171","Medium"
"libgssapi-krb5-2","1.20.1-2+deb12u4","CVE-2024-26461","Negligible"
"libk5crypto3","1.20.1-2+deb12u4","CVE-2024-26461","Negligible"
"libkrb5-3","1.20.1-2+deb12u4","CVE-2024-26461","Negligible"
"libkrb5support0","1.20.1-2+deb12u4","CVE-2024-26461","Negligible"
"coreutils","9.1-1","CVE-2017-18018","Negligible"
"gcc-12-base","12.2.0-14+deb12u1","CVE-2022-27943","Negligible"
"libgcc-s1","12.2.0-14+deb12u1","CVE-2022-27943","Negligible"
"libstdc++6","12.2.0-14+deb12u1","CVE-2022-27943","Negligible"
"gpgv","2.2.40-1.1+deb12u2","CVE-2025-68972","Medium"
"curl","7.88.1-10+deb12u14","CVE-2025-15079","Negligible"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-15079","Negligible"
"libsystemd0","252.39-1~deb12u2","CVE-2013-4392","Negligible"
"libudev1","252.39-1~deb12u2","CVE-2013-4392","Negligible"
"libldap-2.5-0","2.5.13+dfsg-5","CVE-2026-22185","Negligible"
"curl","7.88.1-10+deb12u14","CVE-2025-10966","Negligible"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-10966","Negligible"
"sed","4.9-1+deb12u1","CVE-2026-5958","Low"
"bsdutils","1:2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"libblkid1","2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"libmount1","2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"libsmartcols1","2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"libuuid1","2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"mount","2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"util-linux","2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"util-linux-extra","2.38.1-5+deb12u3","CVE-2022-0563","Negligible"
"gpgv","2.2.40-1.1+deb12u2","CVE-2022-3219","Negligible"
"curl","7.88.1-10+deb12u14","CVE-2025-14017","Negligible"
"libcurl4","7.88.1-10+deb12u14","CVE-2025-14017","Negligible"
"bsdutils","1:2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"libblkid1","2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"libmount1","2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"libsmartcols1","2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"libuuid1","2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"mount","2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"util-linux","2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"util-linux-extra","2.38.1-5+deb12u3","CVE-2025-14104","Negligible"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-42009","Unknown"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-42012","Unknown"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-42013","Unknown"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-42014","Unknown"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-42015","Unknown"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-5260","Unknown"
"libgnutls30","3.7.9-2+deb12u6","CVE-2026-5419","Unknown"
